"folioviv","foliohog","numren","id_trabajo","pres_2","pres_3","pres_4"
"1403411303","1","01","1","","",""
"1403411303","1","02","1","","",""
"1403411303","1","03","1","02","03","04"
"1403411303","1","04","1","","",""
"1403411303","1","05","1","","",""
"1403411303","1","06","1","","",""
"1403411303","1","07","1","","",""
"1403411303","1","08","1","","",""
"1403411304","1","04","1","02","03","04"
"1403411305","1","01","1","02","03","04"
"1403411305","1","03","1","","",""
"1403411306","1","01","1","","",""
"1403411306","1","02","1","","",""
"1403411306","1","03","1","","",""
"1403411306","1","03","2","","",""
"1403411306","1","04","1","02","03","04"
"1403411306","1","05","1","02","03","04"
"1403465902","1","01","1","02","03",""
"1403465906","1","01","1","02","03","04"
"1403465906","1","03","1","02","03",""
"1403475202","1","02","1","02","03",""
"1403475203","1","01","1","02","03",""
"1403475203","1","02","1","02","03",""
"1403475203","1","02","2","02","03",""
"1403475203","1","03","1","","",""
"1403475205","1","01","1","02","03","04"
"1403475205","1","02","1","02","03",""
"1403485501","1","01","1","","",""
"1403485501","1","03","1","02","03",""
"1403485501","1","04","1","02","",""
"1403485502","1","03","1","02","03",""
"1403485503","1","02","1","","",""
"1403485503","1","03","1","","",""
"1403485504","1","01","1","","",""
"1403485504","1","03","1","02","",""
"1403485504","1","04","1","","",""
"1403593801","1","01","1","","",""
"1403593801","1","02","1","02","03","04"
"1403593802","1","01","1","02","03","04"
"1403593802","1","02","1","02","03","04"
"1403593802","1","03","1","","",""
"1403593803","1","01","1","","",""
"1403593804","1","01","1","","",""
"1403593805","1","01","1","02","03","04"
"1403593805","1","02","1","","",""
"1403593805","1","03","1","02","03","04"
"1403593806","1","01","1","02","03","04"
"1403593806","1","01","2","","",""
"1403593806","1","02","1","02","03","04"
"1403613201","1","01","1","","",""
"1403613201","1","02","1","","",""
"1403613201","1","03","1","","",""
"1403613203","1","01","1","02","03","04"
"1403613203","1","03","1","02","03",""
"1403613203","1","04","1","","",""
"1403613204","1","01","1","02","03","04"
"1403613205","1","01","1","02","03",""
"1403613205","1","03","1","02","03","04"
"1403613206","1","02","1","","",""
"1403613206","2","01","1","02","03","04"
"1403613206","2","02","1","","",""
"1403636501","1","01","1","02","03",""
"1403636502","1","01","1","02","03","04"
"1403636502","1","02","1","","",""
"1403636505","1","01","1","","",""
"1403636505","1","03","1","","",""
"1403636505","1","04","1","02","03","04"
"1403636506","1","01","1","","",""
"1403636506","1","02","1","","",""
"1403636506","1","02","2","","",""
"1403636506","1","03","1","","",""
"1403713301","1","01","1","02","03","04"
"1403713301","1","02","1","02","03","04"
"1403713303","1","03","1","","",""
"1403713303","1","04","1","","",""
"1403713303","1","05","1","02","03","04"
"1403713304","1","04","1","02","03",""
"1403713304","1","07","1","02","03","04"
"1403713304","1","08","1","02","03","04"
"1403713305","1","02","1","02","03",""
"1403783301","1","01","1","02","",""
"1403783301","1","02","1","","",""
"1403783302","1","01","1","02","03","04"
"1403783304","1","01","1","02","03","04"
"1403783304","1","01","2","","",""
"1403783305","1","01","1","02","03","04"
"1403783305","1","03","1","02","03","04"
"1403785901","1","01","1","","",""
"1403785901","1","04","1","02","03","04"
"1403785901","1","05","1","02","",""
"1403785901","1","05","2","","",""
"1403785903","1","01","1","","",""
"1403785903","1","02","1","","",""
"1403785904","1","01","1","","",""
"1403785904","1","02","1","02","03","04"
"1403817501","1","01","1","","",""
"1403817501","1","02","1","","",""
"1403817502","1","01","1","02","",""
"1403817502","1","03","1","02","",""
"1403817503","1","01","1","02","03","04"
"1403817503","1","02","1","","",""
"1403817504","1","01","1","02","03","04"
"1403817504","1","02","1","02","03",""
"1403817506","1","02","1","","",""
"1403851301","1","01","1","","",""
"1403851303","1","01","1","02","03","04"
"1403851304","1","02","1","","",""
"1403851306","1","02","1","","",""
"1403851306","1","03","1","02","03","04"
"1404086701","1","01","1","02","03","04"
"1404086702","1","01","1","02","03","04"
"1404086702","1","02","1","02","03","04"
"1404086703","1","02","1","02","03","04"
"1404086704","1","01","1","02","03","04"
"1404086704","1","02","1","02","03","04"
"1404086705","1","01","1","","",""
"1404117902","1","01","1","","",""
"1404117902","1","02","1","","03",""
"1404117903","1","01","1","","",""
"1404117904","1","01","1","02","03","04"
"1404117905","1","01","1","","",""
"1404129801","1","01","1","02","03","04"
"1404129801","1","02","1","02","03","04"
"1404129801","1","03","1","02","03",""
"1404129801","1","04","1","","",""
"1404129801","1","05","1","","03","04"
"1404129801","1","06","1","","03","04"
"1404129802","1","03","1","","",""
"1404129802","1","04","1","","",""
"1404129802","1","05","1","","",""
"1404129803","1","01","1","","",""
"1404129804","1","02","1","","",""
"1404129804","1","03","1","","",""
"1404129804","1","04","1","","",""
"1404129804","1","05","1","","",""
"1404129806","1","01","1","","",""
"1404182201","1","01","1","02","03","04"
"1404182202","1","01","1","02","03","04"
"1404185501","1","01","1","","",""
"1404185501","1","03","1","","",""
"1404185502","1","01","1","02","","04"
"1404185502","1","03","1","02","03",""
"1404185504","1","01","1","02","03","04"
"1404185504","1","02","1","","",""
"1404185505","1","01","1","02","03",""
"1404185505","1","01","2","","03",""
"1404185505","1","02","1","","",""
"1404185505","1","03","1","","",""
"1404185506","1","01","1","02","03","04"
"1404185506","1","02","1","02","03",""
"1404195401","1","02","1","","",""
"1404195402","1","01","1","02","03","04"
"1404195403","1","01","1","","",""
"1404195403","1","02","1","","",""
"1404195405","1","01","1","","",""
"1404195406","1","01","1","","",""
"1404238302","1","01","1","02","03","04"
"1404238302","1","02","1","02","03","04"
"1404238304","1","01","1","02","03",""
"1404238306","1","01","1","","",""
"1404376901","1","01","1","","",""
"1404376901","1","02","1","02","03","04"
"1404376902","1","01","1","","",""
"1404376905","1","01","1","","",""
"1404376906","1","01","1","","",""
"1404376906","1","02","1","","",""
"1404391003","1","01","1","02","03","04"
"1404391003","1","02","1","","",""
"1404391003","1","03","1","","",""
"1404391003","1","04","1","02","03","04"
"1404391004","1","03","1","02","03","04"
"1404391005","1","01","1","","",""
"1404391005","1","02","1","","",""
"1404391006","1","01","1","","",""
"1404391006","1","03","1","","",""
"1404391006","1","04","1","02","03","04"
"1404397602","1","03","1","02","03",""
"1404397602","1","04","1","02","03",""
"1404397603","1","01","1","02","",""
"1404397604","1","01","1","02","03","04"
"1404397605","1","02","1","02","03","04"
"1404397605","1","03","1","","",""
"1404397606","1","01","1","02","03","04"
"1404397606","1","02","1","02","03",""
"1404571901","1","01","1","","",""
"1404571903","1","01","1","","",""
"1404571904","1","01","1","","",""
"1404571905","1","01","1","02","03",""
"1404571906","1","01","1","02","03",""
"1404571906","1","02","1","02","03",""
"1404677801","1","01","1","02","03","04"
"1404677801","1","02","1","02","03","04"
"1404677801","1","04","1","","",""
"1404677801","2","01","1","02","03","04"
"1404677801","2","02","1","","",""
"1404677803","1","01","1","02","03","04"
"1404677803","1","03","1","02","03",""
"1404677806","1","01","1","","",""
"1404677806","1","02","1","02","",""
"1404772401","1","02","1","","",""
"1404772401","1","03","1","02","03","04"
"1404772402","1","01","1","02","03",""
"1404772402","1","03","1","02","03","04"
"1404772403","1","01","1","","",""
"1404772403","1","01","2","","",""
"1404772403","1","02","1","","",""
"1404772403","1","03","1","","",""
"1404772403","1","04","1","","",""
"1404772404","1","03","1","","",""
"1404772404","1","04","1","","",""
"1404772404","1","04","2","","",""
"1404772404","1","05","1","","",""
"1404772404","1","06","1","","",""
"1404772405","1","01","1","02","03",""
"1404781001","1","01","1","02","03","04"
"1404781001","1","02","1","","",""
"1404781003","1","01","1","","",""
