"folioviv","tipo_viv","dotac_agua","disp_elect","tenencia","ubica_geo","est_socio","edo"
"1403817503","2","1","1","1","14067","2","14"
"1403817504","1","1","1","1","14067","2","14"
"1403817506","1","1","1","4","14067","2","14"
"1403851301","1","1","1","4","14067","2","14"
"1403851303","1","1","1","4","14067","2","14"
"1403851304","1","1","1","4","14067","2","14"
"1403851306","1","1","1","4","14067","2","14"
"1404086701","1","1","1","1","14067","3","14"
"1404086702","1","1","1","3","14067","3","14"
"1404086703","1","1","1","1","14067","3","14"
"1404086704","1","1","1","3","14067","3","14"
"1404086705","1","1","1","3","14067","3","14"
"1404117902","1","1","1","2","14067","2","14"
"1404117903","1","1","1","1","14067","2","14"
"1404117904","1","1","1","2","14067","2","14"
"1404117905","1","1","1","1","14067","2","14"
"1404129801","1","1","1","4","14067","2","14"
"1404129802","1","1","1","4","14067","2","14"
"1404129803","4","1","1","1","14067","2","14"
"1404129804","1","","1","4","14067","2","14"
"1404129805","1","1","1","4","14067","2","14"
"1404129806","1","1","1","4","14067","2","14"
"1404182201","2","1","1","1","14067","3","14"
"1404182202","2","1","1","3","14067","3","14"
"1404182204","2","1","1","3","14067","3","14"
"1404182205","2","1","1","4","14067","3","14"
"1404185501","2","1","1","1","14067","3","14"
"1404185502","2","1","1","2","14067","3","14"
"1404185504","2","1","1","3","14067","3","14"
"1404185505","2","1","1","3","14067","3","14"
"1404185506","2","1","1","4","14067","3","14"
"1404195401","1","1","1","4","14067","2","14"
"1404195402","1","1","1","2","14067","2","14"
"1404195403","1","1","1","1","14067","2","14"
"1404195405","1","1","1","4","14067","2","14"
"1404195406","1","1","1","1","14067","2","14"
"1404238302","1","1","1","1","14067","3","14"
"1404238304","3","1","1","1","14067","3","14"
"1404238306","3","1","1","1","14067","3","14"
"1404376901","2","1","1","1","14067","3","14"
"1404376902","2","1","1","4","14067","3","14"
"1404376905","2","1","1","2","14067","3","14"
"1404376906","2","1","1","1","14067","3","14"
"1404391003","1","1","1","4","14067","2","14"
"1404391004","1","1","1","1","14067","2","14"
"1404391005","1","1","1","2","14067","2","14"
"1404391006","1","1","1","1","14067","2","14"
"1404397602","1","1","1","4","14067","2","14"
"1404397603","2","1","1","1","14067","2","14"
"1404397604","1","1","1","4","14067","2","14"
"1404397605","1","1","1","4","14067","2","14"
"1404397606","1","1","1","1","14067","2","14"
"1404571901","1","1","1","4","14098","2","14"
"1404571903","1","1","1","4","14098","2","14"
"1404571904","4","1","1","1","14098","2","14"
"1404571905","1","1","1","1","14098","2","14"
"1404571906","1","1","1","3","14098","2","14"
"1404677801","1","1","1","3","14098","2","14"
"1404677803","1","1","1","4","14098","2","14"
"1404677806","2","1","1","2","14098","2","14"
"1404772401","1","3","1","4","14098","2","14"
"1404772402","1","1","1","4","14098","2","14"
"1404772403","1","1","1","4","14098","2","14"
"1404772404","1","1","1","1","14098","2","14"
"1404772405","1","1","1","2","14098","2","14"
"1404781001","1","1","1","2","14098","2","14"
"1404781002","1","1","1","4","14098","2","14"
"1404781003","1","1","1","2","14098","2","14"
"1404781004","1","1","1","1","14098","2","14"
"1404781005","1","1","1","2","14098","2","14"
"1404781006","1","1","1","1","14098","2","14"
"1404787601","2","1","1","2","14098","2","14"
"1404787602","2","1","1","1","14098","2","14"
"1404787604","2","1","1","1","14098","2","14"
"1404787606","1","1","1","1","14098","2","14"
"1404830701","1","1","1","4","14098","2","14"
"1404830702","1","1","1","1","14098","2","14"
"1404830703","1","1","1","1","14098","2","14"
"1404830704","1","1","1","2","14098","2","14"
"1404830705","1","1","1","4","14098","2","14"
